iteration    condNo_k1
  0.00   1.00000780
  1.00   1.00001561
  2.00   1.00003121
  3.00   1.00006242
  4.00   1.00012485
  5.00   1.00024972
  6.00   1.00049950
  7.00   1.00099925
  8.00   1.00099925
  9.00   1.00099925
 10.00   1.00099925
 11.00   1.00099925
 12.00   1.00099925
 13.00   1.00099925
 14.00   1.00099925
 15.00   1.00099925
 16.00   1.00099925
 17.00   1.00099925
 18.00   1.00099925
 19.00   1.00099925
 20.00   1.00099925
 21.00   1.00099925
 22.00   1.00099925
 23.00   1.00099925
 24.00   1.00099925
 25.00   1.00099925
 26.00   1.00099925
 27.00   1.00099925
 28.00   1.00099925
 29.00   1.00099925
 30.00   1.00099925
 31.01   1.00099925
 32.01   1.00099925
 33.01   1.00099925
 34.01   1.00099925
 35.01   1.00099925
 36.01   1.00099925
 37.01   1.00099925
 38.01   1.00099925
 39.01   1.00099925
 40.01   1.00099925
 41.01   1.00099925
 42.01   1.00099925
 43.01   1.00099925
 44.01   1.00099925
 45.01   1.00099925
 46.01   1.00099925
 47.01   1.00099925
 48.01   1.00099925
 49.01   1.00099925
 50.01   1.00099925
 51.01   1.00099925
 52.01   1.00099925
 53.01   1.00099925
 54.01   1.00099925
 55.01   1.00099925
 56.01   1.00099925
 57.01   1.00099925
 58.01   1.00099925
 59.01   1.00099925
 60.01   1.00099925
 61.01   1.00099925
 62.01   1.00099925
 63.01   1.00099925
 64.01   1.00099925
 65.01   1.00099925
 66.01   1.00099925
 67.01   1.00099925
 68.01   1.00099925
 69.01   1.00099925
 70.01   1.00099925
 71.01   1.00099925
 72.01   1.00099925
 73.01   1.00099925
 74.01   1.00099925
 75.01   1.00099925
 76.01   1.00099925
 77.01   1.00099925
 78.01   1.00099925
 79.01   1.00099925
 80.01   1.00099925
 81.01   1.00099925
 82.01   1.00099925
 83.01   1.00099925
 84.01   1.00099925
 85.01   1.00099925
 86.01   1.00099925
 87.01   1.00099925
 88.01   1.00099925
 89.01   1.00199947
 90.01   1.00199947
 91.02   1.00199947
 92.02   1.00199947
 93.02   1.00199947
 94.02   1.00199947
 95.02   1.00199947
 96.02   1.00199947
 97.02   1.00199947
 98.02   1.00199947
 99.02   1.00199947
100.02   1.00199947
101.02   1.00199947
102.02   1.00199947
103.02   1.00199947
104.02   1.00199947
105.02   1.00199947
106.02   1.00199947
107.02   1.00199947
108.02   1.00199947
109.02   1.00199947
110.02   1.00199947
111.02   1.00199947
112.02   1.00199947
113.02   1.00199947
114.02   1.00199947
115.02   1.00199947
116.02   1.00199947
117.02   1.00199947
118.02   1.00199947
119.02   1.00199947
120.02   1.00199947
121.02   1.00199947
122.02   1.00199947
123.02   1.00199947
124.02   1.00199947
125.02   1.00199947
126.02   1.00199947
127.02   1.00199947
128.02   1.00199947
129.02   1.00199947
130.02   1.00199947
131.02   1.00199947
132.02   1.00199947
133.02   1.00199947
134.02   1.00199947
135.02   1.00199947
136.02   1.00199947
137.02   1.00199947
138.02   1.00199947
139.02   1.00199947
140.02   1.00199947
141.02   1.00199947
142.02   1.00199947
143.02   1.00199947
144.02   1.00199947
145.02   1.00199947
146.02   1.00199947
147.02   1.00199947
148.02   1.00199947
149.02   1.00199947
150.02   1.00199947
151.02   1.00199947
152.03   1.00199947
153.03   1.00199947
